Concept,Initial home,Reviewed home,Status,Editorial note,Reviewed book file,Initial matched section,First lexical source,Slide/page
Momentum,27,27,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/27-markets-mispricing-and-bubbles.qmd,"Research Lens: five patterns, five open diagnoses {#research-lens-five-patterns-five-open-diagnoses-title}",BE-Aalborg/BE2026/BE09. Behavioral Finance.pptx,34
Investor overtrading,27,27,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/27-markets-mispricing-and-bubbles.qmd,A two-direction bubble dashboard,BE-Aalborg/BE2026/BE09. Behavioral Finance.pptx,2
Leverage,27,27,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/27-markets-mispricing-and-bubbles.qmd,A two-direction bubble dashboard,BE-Aalborg/BE2026/BE05. Heuristics & Biases.pptx,14
Systemic risk,27,27,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/27-markets-mispricing-and-bubbles.qmd,A two-direction bubble dashboard,"BE-Aalborg/Readings/01 - AI, Prediction and Complexity/Impact_ML_on_Econ_Summary.pptx",10
Short selling,27,27,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/27-markets-mispricing-and-bubbles.qmd,One laboratory market: a known risk-neutral benchmark can still be exceeded,"BE-Aalborg/06 - Time, Money and Finance/14. Asset Bubbles.pptx",40
Obedience,28,28,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/28-authority-groupthink-and-shared-responsibility.qmd,Authority and responsibility,BE-Aalborg/BE2026/BE06. Habits and Behavior Design.pptx,31
Authority,28,28,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/28-authority-groupthink-and-shared-responsibility.qmd,Diagnose the pathway,BE-Aalborg/BE2026/BE12. Mental Acounting.pptx,46
Bystander effect,28,28,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/28-authority-groupthink-and-shared-responsibility.qmd,Bystanders and pluralistic ignorance,BE-Aalborg/Readings/Instructor Notes/Replication Crisis References.docx,
Diffusion of responsibility,28,28,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/28-authority-groupthink-and-shared-responsibility.qmd,Diagnose the pathway,,
Groupthink,28,28,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/28-authority-groupthink-and-shared-responsibility.qmd,Authority and responsibility,DPN-Aalborg/additional topics/2026/DPN Comprehensive Synthesis Deck.pptx,12
Shared-information bias,28,28,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/28-authority-groupthink-and-shared-responsibility.qmd,Diagnose the pathway,BE-Aalborg/09 - Additional Topics/Existing Additional Topics/Behavioral Decision Theory additional.pptx,32
Group polarization,28,28,placement or scope resolved,"No separate polarization or risky-shift topic was found in the extracted core units. Existing shared-information, conformity, and groupthink mechanisms were retained without treating them as synonyms for polarization.",chapters/28-authority-groupthink-and-shared-responsibility.qmd,Opening / chapter overview,,
Psychological safety,28,28,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/28-authority-groupthink-and-shared-responsibility.qmd,Groupthink: a familiar but contested umbrella,DPN-Aalborg/DPN05. Distributive Negotiation.pptx,55
Culture,29,29,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/29-culture-and-identity-the-same-action-is-not-the-same-act.qmd,Research Lens: testing an honor mechanism {#research-lens-one-bounded-test-of-an-honor-mechanism},BE-Aalborg/BE2026/BE02. Decision-Making Process.pptx,29
Social identity,29,29,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/29-culture-and-identity-the-same-action-is-not-the-same-act.qmd,The culture-and-identity meaning audit,BE-Aalborg/BE2026/BE02. Decision-Making Process.pptx,9
Individualism,29,29,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/29-culture-and-identity-the-same-action-is-not-the-same-act.qmd,Lens 1: Which self or identity enters the decision?,DPN-Aalborg/DPN06. Integrative Negotiation.pptx,54
Collectivism,29,29,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/29-culture-and-identity-the-same-action-is-not-the-same-act.qmd,Lens 1: Which self or identity enters the decision?,DPN-Aalborg/DPN06. Integrative Negotiation.pptx,55
Analytic versus holistic cognition,29,29,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/29-culture-and-identity-the-same-action-is-not-the-same-act.qmd,Lens 1: Which self or identity enters the decision?,DPN-Aalborg/DPN06. Integrative Negotiation.pptx,42
Tightness-looseness,29,29,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/29-culture-and-identity-the-same-action-is-not-the-same-act.qmd,Lens 2: How tightly is deviation sanctioned?,,
Power distance,29,29,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/29-culture-and-identity-the-same-action-is-not-the-same-act.qmd,Lens 3: How do hierarchy and face filter information?,DPN-Aalborg/DPN06. Integrative Negotiation.pptx,54
Face culture,29,29,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/29-culture-and-identity-the-same-action-is-not-the-same-act.qmd,Research Lens: testing an honor mechanism {#research-lens-one-bounded-test-of-an-honor-mechanism},BE-Aalborg/BE2026/BE02. Decision-Making Process.pptx,35
Honor culture,29,29,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/29-culture-and-identity-the-same-action-is-not-the-same-act.qmd,Research Lens: testing an honor mechanism {#research-lens-one-bounded-test-of-an-honor-mechanism},DPN-Aalborg/DPN04. Influence & Persuasion.pptx,38
Dignity culture,29,29,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/29-culture-and-identity-the-same-action-is-not-the-same-act.qmd,Research Lens: testing an honor mechanism {#research-lens-one-bounded-test-of-an-honor-mechanism},BE-Aalborg/BE2026/BE01. Intro to Behavioral Economics.pptx,17
Big Five,29,29,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/29-culture-and-identity-the-same-action-is-not-the-same-act.qmd,Research Lens: personality is not culture or identity,"BE-Aalborg/02 - Attention, Heuristics and Biases/05. Biases.pptx",86
Personality traits,29,29,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/29-culture-and-identity-the-same-action-is-not-the-same-act.qmd,Research Lens: personality is not culture or identity,"BE-Aalborg/02 - Attention, Heuristics and Biases/05. Biases.pptx",86
WEIRD samples,29,29,placement or scope resolved,"The chapter spells out Western, educated, industrialized, rich, and democratic and explains sampling limits. The machine's lecture match to an ordinary word weird is not evidence of this acronym.",chapters/29-culture-and-identity-the-same-action-is-not-the-same-act.qmd,Opening / chapter overview,"BE-Aalborg/04 - Risk, Probability and Prospect Theory/08. Probability Judgment.pptx",60
Persuasion,30,30,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/30-persuasion-changing-minds-means-updating-models.qmd,Resistance and reactance,BE-Aalborg/BE2026/BE02. Decision-Making Process.pptx,20
Source credibility,30,30,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/30-persuasion-changing-minds-means-updating-models.qmd,"Source, evidence, and stakes",DPN-Aalborg/DPN04. Influence & Persuasion.pptx,55
Ethos,30,30,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/30-persuasion-changing-minds-means-updating-models.qmd,"Source, evidence, and stakes","BE-Aalborg/03 - Context, Habits and Choice Architecture/06&07. Contextual Influence.pptx",105
Logos,30,30,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/30-persuasion-changing-minds-means-updating-models.qmd,"Source, evidence, and stakes","BE-Aalborg/03 - Context, Habits and Choice Architecture/06&07. Contextual Influence.pptx",106
Pathos,30,30,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/30-persuasion-changing-minds-means-updating-models.qmd,"Source, evidence, and stakes",DPN-Aalborg/05. Persuasion.pdf,3
Elaboration likelihood model,30,30,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/30-persuasion-changing-minds-means-updating-models.qmd,Two routes through a message,DPN-Aalborg/DPN04. Influence & Persuasion.pptx,89
Heuristic-systematic model,30,30,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/30-persuasion-changing-minds-means-updating-models.qmd,Two routes through a message,DPN-Aalborg/00. ARTS_model_of_influence_predictive_processing_4h_lecture_deck  -  Repaired.pptx,44
Sufficiency principle,30,30,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/30-persuasion-changing-minds-means-updating-models.qmd,Two routes through a message,DPN-Aalborg/00. ARTS_model_of_influence_predictive_processing_4h_lecture_deck  -  Repaired.pptx,44
Sleeper effect,30,30,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/30-persuasion-changing-minds-means-updating-models.qmd,"Source, evidence, and stakes",,
Fear appeals,30,30,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/30-persuasion-changing-minds-means-updating-models.qmd,"Source, evidence, and stakes",DPN-Aalborg/00. ARTS_model_of_influence_predictive_processing_4h_lecture_deck  -  Repaired.pptx,3
Reactance,30,30,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/30-persuasion-changing-minds-means-updating-models.qmd,Resistance and reactance,"BE-Aalborg/Readings/03 - Priming and Goal Setting/Priming, Subliminal Messaging, and Positive Thinking_ A Scientific Review and the Replication Crisis.docx",
Foot-in-the-door,30,30,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/30-persuasion-changing-minds-means-updating-models.qmd,"Small commitments, concessions, and self-persuasion {#commitment-and-self-persuasion}",DPN-Aalborg/DPN04. Influence & Persuasion.pptx,68
Door-in-the-face,30,30,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/30-persuasion-changing-minds-means-updating-models.qmd,"Small commitments, concessions, and self-persuasion {#commitment-and-self-persuasion}",DPN-Aalborg/DPN05. Distributive Negotiation.pptx,60
Self-persuasion,30,30,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/30-persuasion-changing-minds-means-updating-models.qmd,"Small commitments, concessions, and self-persuasion {#commitment-and-self-persuasion}",BE-Aalborg/01 - Foundations and Neuroscience/Anatomy of Decision.docx,
Commitment and consistency,30,30,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/30-persuasion-changing-minds-means-updating-models.qmd,From information transfer to model updating,BE-Aalborg/BE2026/BE02. Decision-Making Process.pptx,23
Reciprocity,30,30,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/30-persuasion-changing-minds-means-updating-models.qmd,"Influence cues are signals, not buttons",BE-Aalborg/BE2026/BE07&08. Behavioral Game Theory.pptx,3
Scarcity,30,30,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/30-persuasion-changing-minds-means-updating-models.qmd,"Influence cues are signals, not buttons",BE-Aalborg/BE2026/BE01. Intro to Behavioral Economics.pptx,13
Liking,30,30,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/30-persuasion-changing-minds-means-updating-models.qmd,"Influence cues are signals, not buttons",BE-Aalborg/BE2026/BE05. Heuristics & Biases.pptx,32
Unity,30,30,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/30-persuasion-changing-minds-means-updating-models.qmd,"Influence cues are signals, not buttons",BE-Aalborg/BE2026/BE02. Decision-Making Process.pptx,12
Narrative persuasion,31,31,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/31-why-stories-move-minds.qmd,Why facts alone can fail,DPN-Aalborg/00. ARTS_model_of_influence_predictive_processing_4h_lecture_deck  -  Repaired.pptx,101
Transportation,31,31,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/31-why-stories-move-minds.qmd,1. Attention and curiosity,DPN-Aalborg/DPN04. Influence & Persuasion.pptx,91
Identification,31,31,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/31-why-stories-move-minds.qmd,2. Identity and self-reference,"BE-Aalborg/02 - Attention, Heuristics and Biases/05. Biases.pptx",3
Self-reference,31,31,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/31-why-stories-move-minds.qmd,Four mechanisms of narrative persuasion,BE-Aalborg/BE02. Decision Making Process.pdf,42
Curiosity,31,31,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/31-why-stories-move-minds.qmd,Four mechanisms of narrative persuasion,BE-Aalborg/BE2026/BE06. Habits and Behavior Design.pptx,26
Information gap,31,32,placement or scope resolved,Loewenstein's account is fully developed under message curiosity in Chapter 32; Chapter 31 already introduces attention and curiosity.,chapters/32-building-an-evidence-aligned-message.qmd,Opening / chapter overview,DPN-Aalborg/DPN05. Distributive Negotiation.pptx,56
Identifiable victim,31,31,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/31-why-stories-move-minds.qmd,The power—and danger—of one {#the-powerand-dangerof-one},DPN-Aalborg/DPN04. Influence & Persuasion.pptx,91
Compassion and statistics,31,31,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/31-why-stories-move-minds.qmd,The power—and danger—of one {#the-powerand-dangerof-one},BE-Aalborg/BE2026/BE05. Heuristics & Biases.pptx,23
Narrative simulation,31,31,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/31-why-stories-move-minds.qmd,Four mechanisms of narrative persuasion,BE-Aalborg/BE2026/BE04. Two Systems of Thinking.pptx,23
Interbrain coupling,31,31,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/31-why-stories-move-minds.qmd,Research Lens: following the same story,DPN-Aalborg/DPN04. Influence & Persuasion.pptx,98
ABT,32,32,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/32-building-an-evidence-aligned-message.qmd,The STORY framework,DPN-Aalborg/DPN04. Influence & Persuasion.pptx,3
STORY,32,32,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/32-building-an-evidence-aligned-message.qmd,The STORY framework,BE-Aalborg/BE2026/BE02. Decision-Making Process.pptx,34
SUCCES,32,32,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/32-building-an-evidence-aligned-message.qmd,Ethical storytelling,BE-Aalborg/BE2026/BE01. Intro to Behavioral Economics.pptx,32
Narrative index,32,32,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/32-building-an-evidence-aligned-message.qmd,The STORY framework,DPN-Aalborg/DPN04. Influence & Persuasion.pptx,43
Audience model,32,32,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/32-building-an-evidence-aligned-message.qmd,The STORY framework,BE-Aalborg/BE2026/BE04. Two Systems of Thinking.pptx,18
Evidence-aligned message,32,32,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/32-building-an-evidence-aligned-message.qmd,The STORY framework,BE-Aalborg/BE2026/BE01. Intro to Behavioral Economics.pptx,29
Social value of sharing,32,32,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/32-building-an-evidence-aligned-message.qmd,Edit for clarity without confusing fluency with truth,DPN-Aalborg/DPN04. Influence & Persuasion.pptx,1
Common ground,33,33,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/33-communication-language-is-not-a-file-transfer.qmd,Communication is coordination and repair,DPN-Aalborg/DPN04. Influence & Persuasion.pptx,35
Pragmatic inference,33,33,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/33-communication-language-is-not-a-file-transfer.qmd,Communication is coordination and repair,BE-Aalborg/01 - Foundations and Neuroscience/02. Science of Decision-Making.pdf,66
Shared reality,33,33,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/33-communication-language-is-not-a-file-transfer.qmd,Learning goals,DPN-Aalborg/DPN04. Influence & Persuasion.pptx,35
Egocentric projection,33,33,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/33-communication-language-is-not-a-file-transfer.qmd,When your own view becomes the default,DPN-Aalborg/DPN07. Communication & Connection.pptx,19
Illusion of transparency,33,33,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/33-communication-language-is-not-a-file-transfer.qmd,When intention feels visible,DPN-Aalborg/DPN07. Communication & Connection.pptx,22
Illusion of understanding,33,33,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/33-communication-language-is-not-a-file-transfer.qmd,When intention feels visible,DPN-Aalborg/00. Active Inference.pptx,132
Perspective-taking,33,33,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/33-communication-language-is-not-a-file-transfer.qmd,Communication is coordination and repair,DPN-Aalborg/DPN07. Communication & Connection.pptx,35
Perspective-getting,33,33,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/33-communication-language-is-not-a-file-transfer.qmd,Communication is coordination and repair,DPN-Aalborg/DPN07. Communication & Connection.pptx,35
Listening feedback,33,33,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/33-communication-language-is-not-a-file-transfer.qmd,When your own view becomes the default,BE-Aalborg/BE2026/BE02. Decision-Making Process.pptx,2
Responsive listening,34,34,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.qmd,Diagnose the conversation before answering it,DPN-Aalborg/DPN07. Communication & Connection.pptx,6
Validation,34,34,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.qmd,Diagnose the conversation before answering it,DPN-Aalborg/DPN07. Communication & Connection.pptx,39
Deep conversation,34,34,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.qmd,Watch for the mismatch,BE-Aalborg/BE2026/BE07&08. Behavioral Game Theory.pptx,26
Appreciation,34,34,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.qmd,Two small practices that strengthen connection,DPN-Aalborg/DPN07. Communication & Connection.pptx,6
Warm honesty,34,34,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.qmd,Cross the net carefully,DPN-Aalborg/DPN07. Communication & Connection.pptx,63
Co-rumination,34,34,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.qmd,Support without trapping attention,DPN-Aalborg/DPN07. Communication & Connection.pptx,62
Apology,34,34,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.qmd,Constructive disagreement,DPN-Aalborg/DPN07. Communication & Connection.pptx,6
Forgiveness,34,34,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.qmd,Optional research note: forgiveness without surrendering judgment,DPN-Aalborg/DPN07. Communication & Connection.pptx,80
Ben Franklin effect,34,34,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.qmd,Two small practices that strengthen connection,DPN-Aalborg/DPN04. Influence & Persuasion.pptx,70
Social connection,34,34,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.qmd,Test the social forecast,BE-Aalborg/BE2026/BE03. Prediction and Expectation.pptx,43
Principled negotiation,35,35,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/35-negotiation-as-joint-decision-design.qmd,"Positions, interests, and issues",DPN-Aalborg/DPN05. Distributive Negotiation.pptx,13
Interests versus positions,35,35,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/35-negotiation-as-joint-decision-design.qmd,Replace performance myths with design questions,DPN-Aalborg/DPN05. Distributive Negotiation.pptx,13
Value creation versus claiming,35,35,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/35-negotiation-as-joint-decision-design.qmd,Replace performance myths with design questions,BE-Aalborg/BE2026/BE01. Intro to Behavioral Economics.pptx,15
Negotiation preparation,35,35,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/35-negotiation-as-joint-decision-design.qmd,Claiming and creating value,BE-Aalborg/BE2026/BE03. Prediction and Expectation.pptx,24
Negotiator's dilemma,35,35,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/35-negotiation-as-joint-decision-design.qmd,Claiming and creating value,BE-Aalborg/BE2026/BE02. Decision-Making Process.pptx,49
BATNA,36,36,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/36-preparing-and-claiming-value.qmd,A complete preparation test,DPN-Aalborg/DPN05. Distributive Negotiation.pptx,2
Reservation value,36,36,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/36-preparing-and-claiming-value.qmd,A complete preparation test,DPN-Aalborg/DPN05. Distributive Negotiation.pptx,2
Aspiration,36,36,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/36-preparing-and-claiming-value.qmd,A complete preparation test,BE-Aalborg/BE2026/BE05. Heuristics & Biases.pptx,17
ZOPA,36,36,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/36-preparing-and-claiming-value.qmd,A complete preparation test,DPN-Aalborg/DPN05. Distributive Negotiation.pptx,2
Bargaining surplus,36,36,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/36-preparing-and-claiming-value.qmd,A complete preparation test,BE-Aalborg/BE2026/BE12. Mental Acounting.pptx,7
First offers,36,36,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/36-preparing-and-claiming-value.qmd,2. Open: anchor only when you can defend the frame,DPN-Aalborg/DPN05. Distributive Negotiation.pptx,2
Precise offers,36,36,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/36-preparing-and-claiming-value.qmd,3. Respond: return to independent analysis,BE-Aalborg/BE2026/BE03. Prediction and Expectation.pptx,2
Range offers,36,36,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/36-preparing-and-claiming-value.qmd,2. Open: anchor only when you can defend the frame,BE-Aalborg/BE2026/BE01. Intro to Behavioral Economics.pptx,31
Reciprocal concessions,36,36,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/36-preparing-and-claiming-value.qmd,4. Move: make concessions carry information,DPN-Aalborg/DPN05. Distributive Negotiation.pptx,60
Bargaining power,36,36,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/36-preparing-and-claiming-value.qmd,Map the bargaining zone,BE-Aalborg/BE2026/BE04. Two Systems of Thinking.pptx,25
Deadlines,36,36,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/36-preparing-and-claiming-value.qmd,A complete preparation test,BE-Aalborg/BE2026/BE02. Decision-Making Process.pptx,11
Fixed-pie bias,37,37,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/37-creating-value-across-differences.qmd,Barriers to value creation,DPN-Aalborg/DPN05. Distributive Negotiation.pptx,2
Logrolling,37,37,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/37-creating-value-across-differences.qmd,An information strategy for creating and claiming value,DPN-Aalborg/00. ARTS_model_of_influence_predictive_processing_4h_lecture_deck  -  Repaired.pptx,67
Issue priorities,37,37,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/37-creating-value-across-differences.qmd,Barriers to value creation,BE-Aalborg/BE2026/BE02. Decision-Making Process.pptx,37
Pareto efficiency,37,37,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/37-creating-value-across-differences.qmd,Differences are opportunities,DPN-Aalborg/DPN06. Integrative Negotiation.pptx,4
Integrative bargaining,37,37,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/37-creating-value-across-differences.qmd,Opening / chapter overview,DPN-Aalborg/DPN05. Distributive Negotiation.pptx,9
Information exchange,37,37,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/37-creating-value-across-differences.qmd,Barriers to value creation,BE-Aalborg/BE2026/BE01. Intro to Behavioral Economics.pptx,15
Differences in risk preferences,37,37,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/37-creating-value-across-differences.qmd,Preparing across issues,BE-Aalborg/BE2026/BE01. Intro to Behavioral Economics.pptx,2
Differences in forecasts,37,37,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/37-creating-value-across-differences.qmd,Barriers to value creation,BE-Aalborg/BE2026/BE02. Decision-Making Process.pptx,9
MESO,38,38,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/38-designing-better-agreements.qmd,Add an advanced module only for a diagnosed problem,DPN-Aalborg/DPN06. Integrative Negotiation.pptx,14
